Epoch 146: Loss=354.3741 | Train Acc=82.34% | Test Acc=78.84%
Epoch 147: Loss=352.5425 | Train Acc=82.45% | Test Acc=76.28%
Epoch 148: Loss=352.1082 | Train Acc=82.52% | Test Acc=80.67%
Epoch 149: Loss=350.5891 | Train Acc=82.73% | Test Acc=79.27%
Epoch 150: Loss=350.6291 | Train Acc=82.79% | Test Acc=78.02%
Epoch 151: Loss=350.1087 | Train Acc=82.78% | Test Acc=80.63%
Epoch 152: Loss=350.5701 | Train Acc=82.62% | Test Acc=80.35%
Epoch 153: Loss=350.0827 | Train Acc=82.82% | Test Acc=78.39%
Epoch 154: Loss=348.5316 | Train Acc=82.82% | Test Acc=80.93%
Epoch 155: Loss=346.3833 | Train Acc=83.19% | Test Acc=79.99%
Epoch 156: Loss=346.6144 | Train Acc=83.22% | Test Acc=81.77%
Epoch 157: Loss=346.3718 | Train Acc=83.33% | Test Acc=79.88%
Epoch 158: Loss=344.7907 | Train Acc=83.34% | Test Acc=80.88%
Epoch 159: Loss=344.2639 | Train Acc=83.38% | Test Acc=80.86%
Epoch 160: Loss=345.5600 | Train Acc=83.47% | Test Acc=80.43%
Epoch 161: Loss=344.7194 | Train Acc=83.43% | Test Acc=79.11%
Epoch 162: Loss=346.0318 | Train Acc=83.32% | Test Acc=78.45%
Epoch 163: Loss=345.6656 | Train Acc=83.24% | Test Acc=81.58%
Epoch 164: Loss=342.0652 | Train Acc=83.66% | Test Acc=81.46%
Epoch 165: Loss=343.5384 | Train Acc=83.56% | Test Acc=81.48%
Epoch 166: Loss=342.4775 | Train Acc=83.62% | Test Acc=80.88%
Epoch 167: Loss=340.4427 | Train Acc=83.89% | Test Acc=82.22%
Epoch 168: Loss=340.0057 | Train Acc=84.03% | Test Acc=81.07%
Epoch 169: Loss=339.9743 | Train Acc=83.96% | Test Acc=82.95%
Epoch 170: Loss=338.2192 | Train Acc=84.21% | Test Acc=83.20%
Epoch 171: Loss=337.9969 | Train Acc=84.21% | Test Acc=82.04%
Epoch 172: Loss=338.3812 | Train Acc=84.12% | Test Acc=80.30%
Epoch 173: Loss=339.2955 | Train Acc=84.08% | Test Acc=82.00%
Epoch 174: Loss=336.1367 | Train Acc=84.45% | Test Acc=82.14%
Epoch 175: Loss=337.1108 | Train Acc=84.27% | Test Acc=81.38%
Epoch 176: Loss=335.5604 | Train Acc=84.42% | Test Acc=82.66%
Epoch 177: Loss=334.7701 | Train Acc=84.67% | Test Acc=81.19%
Epoch 178: Loss=335.4136 | Train Acc=84.35% | Test Acc=83.39%
Epoch 179: Loss=333.1017 | Train Acc=84.79% | Test Acc=82.57%
Epoch 180: Loss=331.5017 | Train Acc=84.75% | Test Acc=82.08%
Epoch 181: Loss=333.4379 | Train Acc=84.60% | Test Acc=81.80%
Epoch 182: Loss=331.0147 | Train Acc=85.02% | Test Acc=79.32%
Epoch 183: Loss=331.7153 | Train Acc=84.75% | Test Acc=80.72%
Epoch 184: Loss=330.2880 | Train Acc=85.10% | Test Acc=83.72%
Epoch 185: Loss=329.9542 | Train Acc=85.04% | Test Acc=81.34%
Epoch 186: Loss=330.1649 | Train Acc=84.89% | Test Acc=83.27%
Epoch 187: Loss=328.6657 | Train Acc=85.20% | Test Acc=79.43%
Epoch 188: Loss=326.9363 | Train Acc=85.39% | Test Acc=82.84%
Epoch 189: Loss=326.5367 | Train Acc=85.47% | Test Acc=84.72%
Epoch 190: Loss=325.7164 | Train Acc=85.36% | Test Acc=83.57%
Epoch 191: Loss=325.5955 | Train Acc=85.46% | Test Acc=81.88%
Epoch 192: Loss=323.1862 | Train Acc=85.74% | Test Acc=83.20%
Epoch 193: Loss=323.4854 | Train Acc=85.74% | Test Acc=82.84%
Epoch 194: Loss=323.6358 | Train Acc=85.67% | Test Acc=81.92%
Epoch 195: Loss=322.6204 | Train Acc=85.84% | Test Acc=82.15%
Epoch 196: Loss=319.0897 | Train Acc=86.29% | Test Acc=84.77%
Epoch 197: Loss=319.8126 | Train Acc=86.24% | Test Acc=85.02%
Epoch 198: Loss=319.9975 | Train Acc=86.06% | Test Acc=81.87%
Epoch 199: Loss=319.2205 | Train Acc=86.23% | Test Acc=82.69%
Epoch 200: Loss=317.4299 | Train Acc=86.43% | Test Acc=82.00%
Epoch 201: Loss=318.3226 | Train Acc=86.27% | Test Acc=82.98%
Epoch 202: Loss=315.7423 | Train Acc=86.60% | Test Acc=83.94%
Epoch 203: Loss=316.4048 | Train Acc=86.62% | Test Acc=83.47%
Epoch 204: Loss=316.1816 | Train Acc=86.52% | Test Acc=83.08%
Epoch 205: Loss=315.0439 | Train Acc=86.69% | Test Acc=84.44%
Epoch 206: Loss=311.7455 | Train Acc=87.19% | Test Acc=83.82%
Epoch 207: Loss=312.5574 | Train Acc=86.97% | Test Acc=84.59%
Epoch 208: Loss=312.3913 | Train Acc=87.00% | Test Acc=84.39%
Epoch 209: Loss=311.5403 | Train Acc=87.15% | Test Acc=85.32%
Epoch 210: Loss=310.3694 | Train Acc=87.43% | Test Acc=85.66%
Epoch 211: Loss=307.4387 | Train Acc=87.54% | Test Acc=84.50%
Epoch 212: Loss=308.5280 | Train Acc=87.54% | Test Acc=83.56%
Epoch 213: Loss=309.5053 | Train Acc=87.45% | Test Acc=83.76%
Epoch 214: Loss=307.1788 | Train Acc=87.65% | Test Acc=85.95%
Epoch 215: Loss=307.6215 | Train Acc=87.55% | Test Acc=84.58%
Epoch 216: Loss=306.8495 | Train Acc=87.61% | Test Acc=84.54%
Epoch 217: Loss=305.4451 | Train Acc=87.87% | Test Acc=84.49%
Epoch 218: Loss=304.3141 | Train Acc=87.78% | Test Acc=85.55%
Epoch 219: Loss=301.6249 | Train Acc=88.31% | Test Acc=84.74%
Epoch 220: Loss=301.1404 | Train Acc=88.35% | Test Acc=86.23%
Epoch 221: Loss=300.7285 | Train Acc=88.33% | Test Acc=85.86%
Epoch 222: Loss=300.4333 | Train Acc=88.31% | Test Acc=84.44%
Epoch 223: Loss=298.3799 | Train Acc=88.47% | Test Acc=85.99%
Epoch 224: Loss=299.2665 | Train Acc=88.44% | Test Acc=84.67%
Epoch 225: Loss=297.8024 | Train Acc=88.64% | Test Acc=86.20%
Epoch 226: Loss=296.0382 | Train Acc=88.85% | Test Acc=85.69%
Epoch 227: Loss=297.0011 | Train Acc=88.71% | Test Acc=85.90%
Epoch 228: Loss=295.1090 | Train Acc=88.89% | Test Acc=86.52%
Epoch 229: Loss=294.5719 | Train Acc=88.98% | Test Acc=86.49%
Epoch 230: Loss=293.1603 | Train Acc=89.14% | Test Acc=84.83%
Epoch 231: Loss=291.4743 | Train Acc=89.35% | Test Acc=86.90%
Epoch 232: Loss=290.5787 | Train Acc=89.48% | Test Acc=86.55%
Epoch 233: Loss=289.7698 | Train Acc=89.58% | Test Acc=87.02%
Epoch 234: Loss=289.3278 | Train Acc=89.63% | Test Acc=86.55%
Epoch 235: Loss=288.5988 | Train Acc=89.63% | Test Acc=86.64%
Epoch 236: Loss=286.8044 | Train Acc=90.01% | Test Acc=86.60%
Epoch 237: Loss=286.5905 | Train Acc=89.97% | Test Acc=86.56%
Epoch 238: Loss=284.9487 | Train Acc=90.07% | Test Acc=87.51%
Epoch 239: Loss=284.6700 | Train Acc=90.18% | Test Acc=87.33%
Epoch 240: Loss=281.2308 | Train Acc=90.45% | Test Acc=86.47%
Epoch 241: Loss=282.4729 | Train Acc=90.37% | Test Acc=87.42%
Epoch 242: Loss=282.0402 | Train Acc=90.34% | Test Acc=87.37%
Epoch 243: Loss=279.4226 | Train Acc=90.73% | Test Acc=87.30%
Epoch 244: Loss=278.9826 | Train Acc=90.63% | Test Acc=86.79%
Epoch 245: Loss=277.5785 | Train Acc=90.84% | Test Acc=88.46%
Epoch 246: Loss=276.0248 | Train Acc=91.07% | Test Acc=87.84%
Epoch 247: Loss=276.5784 | Train Acc=90.92% | Test Acc=87.99%
Epoch 248: Loss=275.7441 | Train Acc=91.01% | Test Acc=87.41%
Epoch 249: Loss=274.2939 | Train Acc=91.30% | Test Acc=88.30%
Epoch 250: Loss=271.8770 | Train Acc=91.62% | Test Acc=87.77%
Epoch 251: Loss=271.5602 | Train Acc=91.61% | Test Acc=88.59%
Epoch 252: Loss=271.8163 | Train Acc=91.64% | Test Acc=88.65%
Epoch 253: Loss=269.4164 | Train Acc=91.80% | Test Acc=88.35%
Epoch 254: Loss=267.9251 | Train Acc=92.00% | Test Acc=88.52%
Epoch 255: Loss=266.1596 | Train Acc=92.19% | Test Acc=88.30%
Epoch 256: Loss=266.4952 | Train Acc=92.25% | Test Acc=88.23%
Epoch 257: Loss=264.9591 | Train Acc=92.31% | Test Acc=88.52%
Epoch 258: Loss=263.3068 | Train Acc=92.58% | Test Acc=88.37%
Epoch 259: Loss=262.2932 | Train Acc=92.68% | Test Acc=88.47%
Epoch 260: Loss=261.5316 | Train Acc=92.73% | Test Acc=88.85%
Epoch 261: Loss=261.2710 | Train Acc=92.81% | Test Acc=88.73%
Epoch 262: Loss=259.8568 | Train Acc=92.87% | Test Acc=89.04%
Epoch 263: Loss=259.1076 | Train Acc=93.01% | Test Acc=89.27%
Epoch 264: Loss=256.7061 | Train Acc=93.28% | Test Acc=89.09%
Epoch 265: Loss=255.4856 | Train Acc=93.48% | Test Acc=89.33%
Epoch 266: Loss=255.2223 | Train Acc=93.43% | Test Acc=89.44%
Epoch 267: Loss=253.8195 | Train Acc=93.63% | Test Acc=89.48%
Epoch 268: Loss=251.8158 | Train Acc=93.91% | Test Acc=89.46%
Epoch 269: Loss=250.6243 | Train Acc=93.92% | Test Acc=89.70%
Epoch 270: Loss=251.3105 | Train Acc=93.98% | Test Acc=89.53%
Epoch 271: Loss=248.9200 | Train Acc=94.21% | Test Acc=89.18%
Epoch 272: Loss=249.5110 | Train Acc=94.13% | Test Acc=89.76%
Epoch 273: Loss=247.0346 | Train Acc=94.45% | Test Acc=89.75%
Epoch 274: Loss=246.4394 | Train Acc=94.40% | Test Acc=89.49%
Epoch 275: Loss=245.0887 | Train Acc=94.55% | Test Acc=89.94%
Epoch 276: Loss=245.0388 | Train Acc=94.67% | Test Acc=89.78%
Epoch 277: Loss=244.5250 | Train Acc=94.60% | Test Acc=90.03%
Epoch 278: Loss=243.0917 | Train Acc=94.86% | Test Acc=90.06%
Epoch 279: Loss=241.2204 | Train Acc=95.13% | Test Acc=89.79%
Epoch 280: Loss=241.9278 | Train Acc=94.98% | Test Acc=89.88%
Epoch 281: Loss=239.4871 | Train Acc=95.32% | Test Acc=90.22%
Epoch 282: Loss=239.3249 | Train Acc=95.34% | Test Acc=90.18%
Epoch 283: Loss=238.8858 | Train Acc=95.44% | Test Acc=90.11%
Epoch 284: Loss=237.5955 | Train Acc=95.53% | Test Acc=90.11%
Epoch 285: Loss=237.4061 | Train Acc=95.59% | Test Acc=90.15%
Epoch 286: Loss=236.5356 | Train Acc=95.61% | Test Acc=90.59%
Epoch 287: Loss=236.4512 | Train Acc=95.62% | Test Acc=90.51%
Epoch 288: Loss=235.6331 | Train Acc=95.76% | Test Acc=90.47%
Epoch 289: Loss=235.6336 | Train Acc=95.74% | Test Acc=90.28%
Epoch 290: Loss=233.9444 | Train Acc=96.02% | Test Acc=90.47%
Epoch 291: Loss=234.1453 | Train Acc=95.98% | Test Acc=90.45%
Epoch 292: Loss=234.4586 | Train Acc=95.92% | Test Acc=90.52%
Epoch 293: Loss=233.3541 | Train Acc=96.08% | Test Acc=90.47%
Epoch 294: Loss=233.6946 | Train Acc=95.97% | Test Acc=90.50%
Epoch 295: Loss=233.5830 | Train Acc=95.96% | Test Acc=90.64%
Epoch 296: Loss=233.1068 | Train Acc=96.11% | Test Acc=90.55%
Epoch 297: Loss=232.4832 | Train Acc=96.10% | Test Acc=90.45%
Epoch 298: Loss=232.3337 | Train Acc=96.11% | Test Acc=90.56%
Epoch 299: Loss=232.3396 | Train Acc=96.13% | Test Acc=90.54%
Epoch 300: Loss=232.7000 | Train Acc=96.13% | Test Acc=90.49%
